trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	num_distr	fixation.started	target.started	mouse.started	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.clicked_name	participant	session	date	expName	psychopyVersion	frameRate
1	0	1	0	5	71.2629382	71.2629382	0.036947	-0.105555556	0.102777778	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
2	0	2	0	5	71.9944503	71.9944503	0.0196419	-0.105555556	0.102777778	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
7	0	7	0	5	75.8855244	75.8855244	0.0227407	-0.105555556	0.102777778	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
11	0	11	0	5	78.875519	78.875519	0.0267405	-0.105555556	0.102777778	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
12	0	12	0	5	79.5102145	79.5102145	0.0196583	-0.105555556	0.102777778	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
16	0	16	0	5	82.0525237	82.0525237	0.0299104	-0.105555556	0.102777778	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
17	0	17	0	5	82.5826313	82.5826313	0.038077	-0.105555556	0.102777778	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
20	0	20	0	5	84.4435697	84.4435697	0.0280343	-0.105555556	0.102777778	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
23	0	23	0	5	87.7180113	87.7180113	0.0343383	-0.051851852	-0.364814815	1	0	0		200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
29	0	29	0	5	96.5291122	96.5291122	0.0299947	0.119444444	0.119444444	1	0	0	target	200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
30	0	30	0	5	97.9072221	97.9072221	0.0371352	-0.389814815	0.423148148	1	0	0	target	200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
31	0	31	0	5	103.3418162	103.3418162	0.028011	0.288888889	0.232407407	1	0	0	target	200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
35	0	35	0	5	109.6925588	109.6925588	0.0393077	0.198148148	-0.273148148	1	0	0	target	200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
38	0	38	0	5	114.4613765	114.4613765	0.0374896	0.031481481	-0.068518519	1	0	0	target	200	1	2023-09-29_09h55.18.421	tutorial 3	2023.1.3	60.29806542
